id_ligue ,id_referee  ,id_home_team ,id_away_team ,   name_of_stadium ,match_date ,match_time 
3,377,38,32,68,2022-08-22,19:08:49
3,292,30,29,87,2022-09-03,21:12:35
3,961,37,36,55,2022-12-09,18:03:50
3,640,36,38,3,2022-12-04,9:51:47
3,832,27,33,49,2023-04-15,11:19:24
3,483,36,28,55,2023-05-25,16:10:42
3,442,28,27,14,2023-04-26,21:09:20
3,708,34,33,4,2022-10-29,14:07:21
3,785,34,29,10,2022-08-21,15:27:53
3,914,27,34,80,2023-03-14,19:40:11
3,122,27,28,84,2023-06-03,15:06:31
3,852,27,31,52,2022-08-13,16:14:16
3,17,35,29,51,2022-12-01,14:36:15
3,582,35,27,45,2023-04-01,15:38:29
3,9,29,32,15,2023-05-23,17:44:33
3,396,37,31,58,2022-12-07,18:50:45
3,505,36,35,27,2022-11-29,13:47:15
3,392,32,35,87,2022-12-07,17:51:31
3,764,30,30,37,2022-11-15,13:14:43
3,775,35,31,71,2023-02-07,12:01:04
3,273,31,35,46,2023-04-02,17:15:11
3,32,27,32,6,2023-01-12,19:35:26
3,49,30,37,34,2022-11-29,14:14:59
3,247,37,37,64,2023-04-15,10:24:04
3,111,29,37,84,2022-09-23,13:42:20
3,217,35,30,4,2023-03-17,15:06:45
3,53,33,37,2,2022-09-30,15:10:20
3,174,36,35,33,2022-08-26,19:31:15
3,928,28,37,15,2023-02-14,19:57:00
3,748,32,38,3,2023-03-29,21:07:46
3,858,38,30,80,2022-12-28,14:28:48
3,310,27,27,3,2023-01-20,14:01:27
3,395,34,36,11,2022-12-21,20:38:10
3,997,31,35,17,2022-08-28,13:13:15
3,424,34,33,64,2022-10-10,18:09:59
3,17,37,38,64,2023-01-10,9:33:40
3,305,30,34,41,2023-02-11,15:27:58
3,615,34,35,85,2022-08-25,19:16:32
3,335,35,35,2,2023-02-12,13:43:52
3,777,28,32,72,2023-03-19,20:57:34
3,399,32,33,39,2022-09-20,11:44:39
3,402,33,29,12,2022-09-27,11:22:42
3,834,27,38,45,2023-06-03,18:28:22
3,191,29,27,9,2023-03-06,10:57:40
3,788,36,28,21,2022-09-02,10:39:35
3,367,34,36,75,2022-10-03,16:21:13
3,151,34,33,52,2023-02-10,17:59:00
3,900,31,38,17,2022-12-14,14:17:10
3,730,35,33,79,2022-11-15,16:50:17
3,913,35,27,56,2023-06-12,16:52:41
3,23,32,30,4,2023-05-14,20:08:59
3,811,28,29,64,2023-01-07,9:41:07
3,524,32,36,30,2022-10-15,12:02:21
3,458,32,33,35,2023-04-01,16:43:07
3,485,35,34,67,2022-10-15,15:56:31
3,497,33,27,69,2022-08-16,12:52:03
3,864,37,34,25,2022-11-24,11:22:17
3,822,35,29,31,2022-11-12,14:03:30
3,462,27,36,67,2023-04-27,11:46:24
3,858,29,28,49,2022-10-06,16:52:51
3,304,36,33,26,2023-01-19,9:58:42
3,788,30,27,19,2023-05-11,14:31:46
3,444,36,36,58,2022-09-07,14:33:34
3,114,36,27,63,2022-09-18,18:55:29
3,946,28,31,46,2023-02-27,9:38:09
3,961,36,29,78,2022-08-25,11:37:49
3,329,32,29,22,2023-06-03,9:33:01
3,94,27,30,23,2022-08-16,17:44:33
3,991,33,35,12,2023-02-16,18:12:01
3,610,37,35,35,2023-05-22,19:34:19
3,113,36,30,12,2022-09-04,14:27:28
3,605,32,32,55,2022-08-26,14:30:28
3,166,38,36,25,2023-03-21,18:00:14
3,854,28,36,9,2022-10-02,16:19:56
3,546,27,34,11,2023-06-11,15:05:48
3,123,32,35,65,2023-06-08,13:35:19
3,738,28,30,49,2022-12-31,11:43:26
3,191,36,35,60,2022-12-24,19:22:02
3,461,29,36,68,2023-04-01,13:49:13
3,419,29,28,3,2022-09-24,14:08:32
3,91,38,38,40,2022-09-23,16:31:46
3,188,31,28,68,2023-04-25,12:11:11
3,223,30,34,62,2023-02-28,18:01:23
3,611,29,31,45,2023-03-30,14:54:31
3,662,32,34,35,2022-10-01,20:57:04
3,396,29,31,83,2023-03-07,15:11:09
3,315,27,35,7,2023-03-22,14:25:19
3,664,36,35,59,2023-04-08,19:52:44
3,900,31,36,70,2022-09-18,16:43:55
3,114,36,35,50,2022-10-23,11:01:06
3,410,32,35,82,2023-01-21,19:55:56
3,968,30,29,50,2022-09-14,9:57:24
3,171,27,38,67,2023-01-02,16:19:11
3,365,29,35,28,2023-03-12,19:43:17
3,832,31,28,2,2022-08-20,20:42:00
3,193,30,38,50,2023-02-08,19:51:41
3,579,37,27,68,2023-02-20,16:38:39
3,278,38,33,45,2023-02-20,18:18:34
3,901,29,38,13,2023-05-07,15:32:05
3,785,28,30,54,2023-06-06,11:53:42
3,928,27,27,86,2023-01-26,15:02:22
3,983,36,36,65,2023-04-12,17:03:07
3,64,34,31,39,2023-04-22,12:41:39
3,21,34,29,42,2023-03-05,18:04:34
3,715,31,30,85,2023-01-17,10:35:10
3,653,29,30,56,2022-12-25,14:06:19
3,696,31,34,24,2023-02-28,12:14:58
3,720,31,35,40,2022-09-23,21:15:21
3,383,33,33,19,2022-11-22,9:39:27
3,894,38,34,85,2022-11-29,14:19:16
3,623,34,31,72,2022-09-14,20:39:00
3,793,33,31,88,2022-12-25,12:48:23
3,272,36,33,86,2022-12-20,11:22:48
3,911,28,37,11,2023-01-31,12:36:37
3,707,37,29,35,2023-02-22,16:25:42
3,76,30,36,59,2023-04-27,18:48:30
3,718,33,35,21,2023-05-02,18:55:50
3,346,30,36,19,2023-03-27,18:32:56
3,132,37,36,35,2023-03-16,9:30:51
3,586,27,38,7,2023-04-13,20:20:23
3,913,38,33,36,2022-09-02,12:07:38
3,953,36,36,25,2022-10-06,17:45:51
3,843,32,37,64,2023-03-27,11:40:26
3,793,31,38,10,2022-12-10,12:04:54
3,989,27,31,34,2023-04-26,20:42:31
3,340,38,29,74,2023-05-22,19:33:45
3,454,33,33,70,2022-10-06,16:32:12
3,172,34,29,30,2023-05-17,19:53:38
3,531,27,35,32,2023-04-09,17:53:24
3,268,32,27,43,2023-04-26,15:38:09
3,164,38,34,82,2022-12-16,13:04:52
3,27,27,29,37,2022-11-21,17:20:07
3,160,36,31,7,2022-10-28,20:32:01
3,988,27,29,56,2023-06-18,12:29:21
3,466,33,29,56,2022-08-25,12:38:10
3,670,29,28,86,2023-03-17,18:01:56
3,472,37,30,70,2023-01-03,21:02:39
3,918,35,30,8,2022-10-05,18:29:58
3,427,37,32,41,2022-10-28,16:10:02
3,161,30,33,50,2023-02-28,13:41:02
3,637,36,33,32,2023-02-12,14:21:24
3,51,34,30,6,2022-10-23,10:04:43
3,757,28,31,6,2023-01-10,11:38:40
3,241,37,28,66,2022-10-26,20:38:47
3,180,36,35,56,2023-02-21,16:04:23
3,978,29,29,51,2023-04-11,10:38:35
3,949,31,33,45,2023-01-25,21:00:15
3,724,38,32,46,2022-11-06,20:58:46
3,769,37,31,31,2023-01-30,19:01:44
3,567,33,27,21,2022-09-19,11:59:19
3,424,27,28,38,2022-11-16,15:41:19
3,143,37,30,50,2022-10-05,19:50:59
3,232,37,29,11,2022-11-14,19:22:22
3,190,36,35,83,2023-01-25,19:58:00
3,887,29,38,37,2023-01-09,10:16:12
3,948,29,30,65,2022-12-26,18:48:11
3,727,34,28,74,2023-05-10,19:47:02
3,60,31,36,64,2023-01-22,13:54:39
3,22,32,29,33,2023-03-02,16:04:25
3,707,37,38,12,2022-10-03,21:03:07
3,930,34,38,23,2023-05-02,18:45:07
3,166,34,37,9,2023-03-15,13:11:06
3,811,29,29,36,2023-04-12,18:00:55
3,810,37,30,51,2022-08-23,21:24:09
3,655,32,38,75,2022-12-15,11:27:01
3,665,32,28,2,2023-04-10,16:39:42
3,722,31,28,31,2023-02-03,12:24:51
3,893,33,34,79,2023-04-09,17:45:11
3,515,32,27,8,2023-02-03,18:26:04
3,488,33,36,34,2023-03-18,11:09:42
3,246,34,34,21,2023-06-17,10:51:52
3,377,29,33,6,2022-12-12,16:03:50
3,735,34,28,12,2022-12-07,11:19:03
3,985,27,29,2,2022-11-02,16:39:32
3,229,36,32,74,2023-04-13,11:04:29
3,634,28,29,13,2023-05-24,18:25:56
3,724,36,38,35,2022-10-25,14:58:39
3,722,34,32,37,2023-04-16,12:24:46
3,955,31,36,84,2023-05-02,14:26:53
3,822,27,33,56,2022-10-08,17:00:43
3,871,29,31,74,2022-09-21,17:44:54
3,884,34,35,82,2023-06-02,10:22:49
3,273,31,29,81,2022-08-22,11:04:20
3,494,30,27,79,2023-04-06,14:33:23
3,560,29,38,42,2022-11-03,10:22:46
3,134,29,30,84,2023-06-07,10:32:11
3,34,35,29,41,2022-09-17,14:05:56
3,936,34,28,28,2023-05-24,20:04:24
3,268,30,36,37,2023-02-13,17:14:43
3,488,27,35,58,2023-02-07,13:30:53
3,826,30,35,66,2022-09-04,16:59:20
3,104,28,30,81,2023-05-29,21:21:49
3,78,37,30,47,2022-11-05,10:17:43
3,13,33,30,55,2023-05-30,11:38:51
3,740,28,34,7,2023-02-14,11:46:55
3,58,36,31,64,2023-06-13,16:01:45
3,591,30,36,56,2022-11-28,20:37:07
3,900,27,27,73,2022-12-24,20:05:07
3,820,31,38,20,2022-10-28,18:41:26
3,221,37,34,45,2023-06-07,13:26:01
3,226,34,35,22,2023-05-20,17:35:42
3,657,33,34,27,2023-05-22,21:05:17
3,949,28,28,39,2022-10-31,19:12:41
3,826,34,37,38,2023-04-22,14:21:45
3,341,35,27,59,2023-01-03,20:02:28
3,828,28,27,20,2022-09-29,20:31:44
3,468,38,33,52,2023-05-05,12:17:22
3,952,33,31,57,2022-10-17,13:31:20
3,66,37,33,14,2023-02-10,11:21:20
3,247,28,38,84,2022-08-31,19:28:17
3,623,37,30,71,2022-10-27,19:11:39
3,400,30,38,82,2023-03-21,9:35:45
3,229,38,33,3,2023-02-23,18:32:55
3,109,31,35,81,2023-01-01,18:43:19
3,601,37,38,86,2023-01-10,12:50:49
3,216,30,38,39,2023-05-01,18:53:01
3,758,27,28,24,2023-03-31,20:36:52
3,869,36,29,65,2023-05-27,16:58:07
3,554,33,33,38,2022-09-07,17:36:40
3,29,30,37,10,2022-11-16,19:23:39
3,445,27,37,78,2023-06-07,19:23:59
3,841,37,37,27,2022-10-31,10:24:34
3,185,30,27,48,2023-03-25,12:22:15
3,81,34,35,28,2022-11-29,9:48:53
3,284,32,27,45,2022-12-26,17:56:03
3,563,30,35,66,2023-03-25,14:33:09
3,559,35,34,6,2022-12-29,11:26:21
3,322,27,31,71,2022-12-09,13:17:56
