id_match ,id_player ,goals_scored,assists ,yellow_cards ,red_cards ,minutes_played 
1992,1636,,,,,46
2216,1865,,,,,28
1961,1817,,,,,45
1968,1666,,,,,48
1719,1577,,2,,,7
1915,1695,,,,1,20
1738,1754,4,,,,54
1747,1680,2,,,,86
1713,1463,4,,,,32
2034,1962,3,3,,,11
2009,1890,4,,,,25
1678,1977,,3,,,83
2210,1892,,,,,56
1871,1963,,,,,85
1903,1473,,,,,67
1777,1697,,1,,,22
1774,1494,,,,,5
1890,1598,3,,,,49
1917,1928,3,3,,,88
1744,1856,,2,,,87
2019,1854,,2,,,15
2145,1983,,1,,,86
2179,1993,,,,,11
1979,1990,1,3,,,32
1775,1558,,,,,84
2149,1856,1,2,,,48
1725,1829,1,1,,,80
1840,1943,,1,,,77
2175,1887,,1,,,88
1752,1822,4,,,,52
1885,1745,,,,,23
1709,1770,,2,,,73
2214,1914,,,,,49
2017,1836,,,,,33
1781,1875,,,,,41
2064,1833,4,,,,33
1785,1665,2,1,,,3
1673,1451,,3,,,42
1817,1722,4,,,,53
1830,1779,4,,,,25
1927,1975,3,,,,75
1872,1460,4,,,,21
1951,1952,4,,,,64
2052,1707,,,,,46
1929,1488,,,,,28
2019,1634,,1,,,3
2184,1754,,,,,79
2002,1658,,,,,77
1960,1743,,,,,26
2069,1821,4,,,,81
2233,1871,,,,,80
1966,1511,3,,,,77
2027,1924,3,3,,,29
2216,1455,3,,,,32
1659,1762,,,,,64
2194,1622,,,,,0
2061,1630,,,,,86
1820,1877,,,,,56
1880,1908,,,,,77
1783,1553,,3,,,13
1675,1650,,,,,26
1652,1608,,,,,26
1857,1861,,,,,3
1992,1902,,1,,,16
1809,1649,,2,,,43
2037,1508,,,,,32
1826,1529,,,,,14
1746,1488,,2,,,26
1746,1852,,,,,24
1763,1937,,,,,62
2014,1697,,,,,9
2005,1723,,2,,,14
1864,1526,,3,,,36
1698,1670,3,1,,,20
1653,1515,,2,,,64
1680,1563,,,,,49
2217,1919,1,,1,,47
2072,1965,,,,,7
1785,1765,,,,,59
2017,1634,,,,,27
1716,1660,3,1,,,72
2155,1698,,3,,,15
2124,1807,2,,,,86
1831,1719,2,1,,,23
1835,1681,4,3,,,87
1817,1814,,,,,27
1911,1519,1,,,,6
1725,1490,,1,,,11
1827,1506,1,,,,69
1819,1548,,3,,,87
2129,1972,,3,,,90
1983,1767,,,,,19
1730,1636,,,,,23
2228,1690,,,,,82
1823,1842,,,,,73
2053,1713,,,,,43
1967,1790,4,,,,85
2155,1740,,,,,65
1660,1623,,,,,20
1920,1818,,,,,81
1831,1949,,,,,62
2100,1659,1,,,,31
1851,1959,1,1,,,13
2103,1455,,3,,,24
1876,1705,,1,,,35
1910,1918,,,,,89
1672,1973,,,,,68
2127,1935,,,,,7
2101,1806,,,,,5
1759,1521,,2,,,30
2198,1852,,1,,,8
2097,1856,,,,,23
2057,1498,4,,,,81
1973,1932,,,,,5
1988,1840,2,,,,86
1874,1479,,,,,75
1907,1821,,2,,,28
2006,1707,,,,,13
2022,1655,,2,,,87
1710,1915,,,,1,51
1762,1841,,3,,,75
2215,1914,4,3,,,84
1836,1698,2,,,,11
2137,1821,2,,,,35
2090,1791,,3,,,14
2192,1615,,,,,24
