id_match ,id_player ,goals_scored,assists ,yellow_cards ,red_cards ,minutes_played 
604,514,,2,,,88
170,704,,3,,,69
117,700,,2,,,61
454,161,,,,,73
187,751,,,,,76
5,599,,3,,,19
537,33,,2,,,18
450,179,,,,,0
412,125,4,3,,,54
7,672,,,,,29
61,779,,3,,,27
412,539,,,,,17
704,251,,,,,63
762,400,3,1,,,65
144,662,,3,,,57
353,739,,,,,67
708,58,1,1,,,74
312,500,,,,,45
635,122,1,,,,27
594,689,2,3,,,59
559,365,,3,,,75
230,288,,,,,64
240,699,,,,,49
82,734,,1,,,20
442,256,1,,,,38
160,248,,1,,,19
88,162,,,,,73
312,159,3,,,,15
91,352,1,3,,,29
475,128,,2,,,34
239,415,4,,,,48
111,450,4,,,,69
409,532,,3,,1,72
612,538,,,,,0
99,166,,,,,1
729,177,,,,,3
558,682,1,,,,72
48,16,2,,,,7
14,311,,3,,,56
648,103,3,,,,8
769,144,1,,,,15
526,419,2,2,,,3
299,274,,1,,,23
628,722,3,,,,31
318,16,1,,,,51
787,443,,,,,16
415,53,4,2,,,53
556,457,,2,,,90
472,204,,1,,,62
90,41,4,3,,,18
56,156,,,,,46
12,377,,,,,75
26,237,,,,,57
171,440,2,,,,68
123,535,3,2,,,42
799,79,3,3,,,53
118,450,,,,,62
96,762,,,,,44
121,419,,,,,85
725,466,,,,,69
203,307,2,,,,61
186,384,,,,,21
377,336,,,,,67
503,180,,,,,3
355,183,3,,,,30
732,77,,3,,,60
102,659,,,,,46
102,71,,,,,23
229,256,,,,,70
90,643,,1,,,14
73,383,,,,,70
692,671,4,,,,70
507,451,,,,,22
319,723,,2,,,72
514,160,3,,,,65
787,231,3,,,,77
496,621,,,,,53
401,653,,,,,32
509,480,,3,,,37
211,512,,,,,26
421,621,,,,,13
283,210,,3,,,86
419,704,4,1,,,15
336,565,,2,,,76
301,263,1,1,,,6
36,505,4,,,,61
118,309,,1,,,23
319,287,3,,,,70
763,87,,1,,,16
565,629,,,,,6
633,721,,,,,22
317,116,,1,,,13
395,636,1,,,,53
402,463,,1,,,42
567,365,,,,,36
489,276,,,,,20
716,611,3,,,,40
309,311,,,,,9
772,324,,,,,79
444,125,4,,,,68
218,641,,,,,67
8,587,,,,,76
143,277,,,,,15
427,309,4,,,,35
443,533,,3,,,56
711,170,,,,,1
307,154,,,,,34
108,246,,,,,22
27,505,,,,,42
697,200,,,,,69
678,123,,,,,32
334,376,1,,,,68
803,461,,2,,,60
779,132,,,,,66
296,307,,,,,56
761,626,2,,,,32
80,686,,,,,82
562,511,,,,,33
445,796,,,,,90
787,299,,,,,37
494,112,,,,,67
789,133,,1,,,25
202,395,,1,,,79
87,85,,2,,,34
521,384,,,,,17
155,664,,3,1,,21
122,721,1,,,,41
673,177,3,,,,84
671,315,,,,,31
305,317,,,,,28
410,50,4,,,,20
179,417,,,,,15
57,326,,,,1,37
663,492,,,,,48
747,266,4,2,,,60
84,251,,,,,61
1,379,,3,,,42
232,451,,,1,,24
628,479,,3,,,87
30,693,3,1,,,44
719,660,,,,,66
363,401,3,1,,,72
625,528,4,3,,,18
141,251,,,,,53
436,700,,2,,,29
446,261,,3,,,50
458,415,,2,,,88
67,214,,,,,54
550,184,,,,,82
478,379,3,,,,79
666,770,,1,,,42
293,733,,,,,1
521,128,2,2,,,83
804,397,,,,,47
79,74,3,3,,1,41
767,535,,,,,71
456,126,,3,,,42
561,570,3,3,,,54
229,423,,2,,,80
761,770,,,,,85
177,782,,3,,,8
368,139,,,,,30
629,641,,,,,42
53,600,,,,,49
298,234,,,,,47
537,738,,,1,,23
683,529,,3,,,65
754,225,,,,,66
12,299,3,3,,,83
504,175,,,,,59
517,297,,,,,63
60,674,4,,,,76
606,38,,1,,,32
454,382,,,,,79
667,95,1,,,,80
233,60,,,,,54
84,507,,,,,75
760,454,,,,,72
386,109,,3,,,19
183,274,4,,,,66
762,437,,,,,9
330,525,4,,,,52
741,411,,,,,85
390,194,,,,,24
117,444,,,,,13
67,542,,,,,28
418,741,,,,,73
592,39,,,,,21
301,185,,,,,73
803,3,,1,,,57
147,479,1,,,,26
453,651,,,,,58
93,702,2,,,,44
546,44,,,,,29
789,771,4,,,,89
645,431,,2,,,48
388,642,,,,,41
602,460,,,,,55
217,729,3,,,,77
645,798,,,,,27
614,464,,,,,17
50,101,2,,,,85
638,494,1,,,,69
322,242,4,,,,35
97,633,,2,,,33
84,666,4,2,,,34
541,763,,3,1,,9
313,674,,1,,,27
391,511,4,,,,55
300,162,,1,,,76
632,798,,,,,10
593,103,,,,,46
52,317,,1,,,28
264,171,3,1,,,26
490,327,,,,,40
488,745,,,,,65
116,213,1,,,,80
282,523,,,,,73
402,769,1,,,,30
207,692,,,,,39
720,309,,,,,10
699,600,,1,,,13
352,767,,1,,,21
328,390,,,,,56
720,787,,1,,,41
13,290,,,,,86
386,3,,,,,48
23,636,,,,,68
127,603,,,,,26
690,168,1,,1,,80
313,224,,,,,58
587,229,1,3,,,85
231,252,,,,,54
410,352,,,,,58
530,384,,,,,89
444,684,2,,,,41
754,712,1,,,,54
779,451,,,,,90
739,613,,,,,89
214,741,,,,,87
430,602,,,,,56
468,448,2,,,,72
48,539,1,3,,,43
373,550,3,,,,75
204,562,,,,,26
807,262,,2,,,90
696,160,2,2,,,13
743,234,,,,,2
743,219,1,,,,58
412,123,,,,,62
494,375,4,,,,54
459,155,,,1,,5
318,731,2,,,,31
75,99,4,,,,71
598,185,,,,,21
413,613,1,,,,4
65,511,,1,,,65
713,122,,,,,27
29,199,1,,,,30
457,183,,,,,70
569,446,,,,,20
298,327,,,,,42
785,579,,2,,,2
207,200,,,,,34
280,155,,,,,37
763,422,2,,,,11
741,189,2,3,,,75
420,354,,,,,56
306,695,1,,,,82
486,180,,,,,69
186,477,,,,,31
504,280,3,,,,52
607,702,,,,,90
134,571,,,,,80
608,754,,,,,56
413,309,,,,,18
701,768,2,,,,25
412,343,,3,,,62
340,220,,,1,,2
396,217,2,3,,,47
441,649,,,,,9
223,18,1,,,,40
445,550,,,,,88
139,44,,1,,,90
208,541,1,1,,,81
266,74,2,2,,,43
191,642,,,,,83
309,546,,,,,38
260,368,,1,,,60
639,732,2,,,,70
587,379,4,1,,,72
345,106,,,,,88
676,601,,,,,77
460,227,,1,,,64
337,646,3,,,,27
137,176,,,,,37
83,338,1,3,,,81
617,559,,,,,49
47,458,,,,,31
284,362,,,,,56
94,28,2,,,,48
527,232,3,,,,36
